InternalID,Name,ExternalID,Direction,Lat,Long,Time_Point,NewZone,No_Rts_Ser,Routes_161,Mode,Public_She,Public_Sto
S70522,AGNEW RD AT CLOVERFIELD DR,21562.0,Outbound,40.398732,-79.964684,No,1,1.0,44,Bus,No Shelter,Bus Stop
S70519,AGNEW RD AT JOSEPH ST FS,21559.0,Outbound,40.396218,-79.971257,No,1,1.0,44,Bus,No Shelter,Bus Stop
S70511,AGNEW RD AT LAFFERTY DR,21553.0,Inbound,40.398118,-79.969347,No,1,1.0,44,Bus,No Shelter,Bus Stop
S70513,AGNEW RD AT PENN ST,21555.0,Inbound,40.396459,-79.974088,No,1,1.0,44,Bus,No Shelter,Bus Stop
S70521,AGNEW RD OPP ACADEMY CHARTER SCHOOL DRVWY,21561.0,Outbound,40.399292,-79.967826,No,1,1.0,44,Bus,No Shelter,Bus Stop
S70512,AGNEW RD OPP JOSEPH ST,21554.0,Inbound,40.396299,-79.971508,No,1,1.0,44,Bus,No Shelter,Bus Stop
S70520,AGNEW RD OPP LAFFERTY DR,21560.0,Outbound,40.397933,-79.969224,No,1,1.0,44,Bus,No Shelter,Bus Stop
E02925,AIKEN AVE AT BROAD ST,9254.0,Outbound,40.465602,-79.935889,No,1,1.0,89,Bus,No Shelter,Bus Stop
E02929,AIKEN AVE AT KINCAID ST,9253.0,Outbound,40.4663,-79.935476,No,1,1.0,89,Bus,No Shelter,Bus Stop
E02930,AIKEN AVE AT PENN AVE,9255.0,Outbound,40.464749,-79.936442,No,1,1.0,89,Bus,No Shelter,Bus Stop
E02931,AIKEN AVE AT ROSETTA ST,9252.0,Outbound,40.467044,-79.935035,No,1,1.0,89,Bus,No Shelter,Bus Stop
E03270,AIRBRAKE AVE AT 10TH ST,7774.0,Inbound,40.402928,-79.821978,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E02940,AIRBRAKE AVE AT 11TH ST,7775.0,Inbound,40.403305,-79.822897,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E02990,AIRBRAKE AVE AT 7TH ST,7772.0,Inbound,40.401772,-79.819274,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E03010,AIRBRAKE AVE AT 9TH ST,7773.0,Inbound,40.402552,-79.821087,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E03240,AIRBRAKE AVE AT MILLER ST,7838.0,Outbound,40.395321,-79.806449,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E03080,AIRBRAKE AVE OPP 10TH ST,7829.0,Outbound,40.402855,-79.822301,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E03100,AIRBRAKE AVE OPP 11TH ST,7828.0,Outbound,40.403263,-79.823211,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E03120,AIRBRAKE AVE OPP 1ST ST,7836.0,Outbound,40.39791,-79.813122,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E03140,AIRBRAKE AVE OPP 2ND ST,7835.0,Outbound,40.399453,-79.81543,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E03150,AIRBRAKE AVE OPP 3RD ST,7834.0,Outbound,40.399966,-79.816231,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E02980,AIRBRAKE AVE OPP 5TH ST,7832.0,Outbound,40.400914,-79.817766,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E03000,AIRBRAKE AVE OPP 7TH ST,7831.0,Outbound,40.401711,-79.819632,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E03200,AIRBRAKE AVE OPP 9TH ST,7830.0,Outbound,40.402465,-79.82138,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E03260,AIRBRAKE AVE OPP STEPS,17182.0,Outbound,40.396347,-79.810671,No,2,2.0,"69, P69",Bus,No Shelter,Bus Stop
E03273,ALBERT ST AT MAPLE AVE,8085.0,Inbound,40.408014,-79.819737,Yes,2,2.0,"68, P68",Bus,No Shelter,Bus Stop
E03285,ALCOMA BLVD AT SALTSBURG RD,20697.0,Both,40.481461,-79.804732,No,2,1.0,77,Bus,No Shelter,Bus Stop
E03277,ALCOMA BLVD AT TURNAROUND,20696.0,Both,40.485374,-79.79968,Yes,2,1.0,77,Bus,No Shelter,Bus Stop
E03290,ALGER ST AT WINTERBURN AVE,12232.0,Inbound,40.427079,-79.939696,No,1,1.0,58,Bus,No Shelter,Bus Stop
S03950,ALICE ST AT CAMFIELD ST,2517.0,Both,40.410302,-79.99765,No,1,1.0,54,Bus,No Shelter,Bus Stop
S03970,ALICE ST AT GEORGIA AVE,2529.0,Both,40.410066,-79.995262,No,1,1.0,54,Bus,No Shelter,Bus Stop
E70026,ALLEGHENY AVE AT ANN ST NS,19428.0,Inbound,40.520193,-79.842957,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E70087,ALLEGHENY AVE AT ARCHIE ST NS,19427.0,Inbound,40.523893,-79.84201,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E70028,ALLEGHENY AVE AT DELAWARE AVE,16559.0,Inbound,40.51764,-79.843239,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E70038,ALLEGHENY AVE AT HULTON RD NS (PORTE ST STEPS),16569.0,Outbound,40.524847,-79.841263,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
N04560,ALLEGHENY AVE AT NORTH AVE,1723.0,Inbound,40.453191,-80.01957,No,1,1.0,18,Bus,No Shelter,Bus Stop
N04640,ALLEGHENY AVE AT NORTH AVE,1725.0,Outbound,40.452982,-80.019256,No,1,1.0,18,Bus,No Shelter,Bus Stop
E70025,ALLEGHENY AVE AT PENNSYLVANIA AVE,16556.0,Inbound,40.522029,-79.842676,Yes,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E70036,ALLEGHENY AVE AT PENNSYLVANIA AVE,16567.0,Outbound,40.521786,-79.842546,Yes,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
N04610,ALLEGHENY AVE AT REEDSDALE ST FS,20381.0,Inbound,40.447784,-80.017846,No,1,2.0,"14, 18",Bus,No Shelter,Bus Stop
E70029,ALLEGHENY AVE AT WASHINGTON AVE,16560.0,Inbound,40.516328,-79.843408,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E70032,ALLEGHENY AVE AT WASHINGTON AVE,16563.0,Outbound,40.516082,-79.843249,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E70035,ALLEGHENY AVE OPP ANN ST,16566.0,Outbound,40.52001,-79.842783,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E70037,ALLEGHENY AVE OPP ARCHIE ST,16568.0,Outbound,40.523698,-79.841895,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E70031,ALLEGHENY AVE OPP CALIFORNIA AVE,16562.0,Outbound,40.515239,-79.843335,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E70030,ALLEGHENY AVE OPP COLLEGE AVE,20087.0,Inbound,40.514133,-79.843643,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E70033,ALLEGHENY AVE OPP DELAWARE AVE,16564.0,Outbound,40.517383,-79.843126,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E70034,ALLEGHENY AVE OPP MARYLAND AVE NS,19179.0,Outbound,40.518836,-79.842914,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
N04650,ALLEGHENY AVE OPP SHEFFIELD ST,1726.0,Outbound,40.454254,-80.019696,No,1,1.0,18,Bus,No Shelter,Bus Stop
E03320,ALLEGHENY RIVER BLVD AT CENTER AVE,14319.0,Inbound,40.506701,-79.842993,Yes,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E03330,ALLEGHENY RIVER BLVD AT CENTER AVE FS,19435.0,Outbound,40.506731,-79.842726,Yes,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E03350,ALLEGHENY RIVER BLVD AT COLLEGE AVE,19178.0,Outbound,40.513852,-79.843077,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E03450,ALLEGHENY RIVER BLVD AT PLUM ST FS,19176.0,Outbound,40.512352,-79.843259,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E03550,ALLEGHENY RIVER BLVD AT SELDON AVE FS,19177.0,Outbound,40.508317,-79.842505,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E03560,ALLEGHENY RIVER BLVD AT SOUTH AVE,14320.0,Inbound,40.504958,-79.843257,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E03570,ALLEGHENY RIVER BLVD AT SOUTH AVE,14456.0,Outbound,40.504668,-79.84301,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
E03740,ALLEGHENY RIVER BLVD OPP PLUM ST,14318.0,Inbound,40.511929,-79.84352,No,2,2.0,"78, P78",Bus,No Shelter,Bus Stop
W00780,ALLENDALE CIR AT #3604,4195.0,Both,40.459354,-80.064515,No,1,1.0,26,Bus,No Shelter,Bus Stop
W00790,ALLENDALE CIR AT #3658,4196.0,Both,40.460369,-80.063797,No,1,1.0,26,Bus,No Shelter,Bus Stop
W00800,ALLENDALE CIR AT #3728,4197.0,Both,40.459519,-80.062974,No,1,1.0,26,Bus,No Shelter,Bus Stop
W00810,ALLENDALE ST AT CHARTIERS AVE,4204.0,Both,40.454045,-80.059779,No,1,1.0,26,Bus,No Shelter,Bus Stop
W00820,ALLENDALE ST AT FAIRDALE ST,4191.0,Both,40.455384,-80.06091,No,1,1.0,26,Bus,No Shelter,Bus Stop
